datetime,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,hour,day,weekday,month,CO(GT)_rolling3,NOx(GT)_rolling3,NO2(GT)_rolling3,C6H6(GT)_rolling3,CO(GT)_lag1,NOx(GT)_lag1,NO2(GT)_lag1,C6H6(GT)_lag1
2004-03-11 16:00:00,2.2,1292.0,95.0,8.3,912.0,193.0,1103.0,131.0,1591.0,957.0,9.7,71.2,0.8569,16.0,11.0,3.0,3.0,2.433333333333333,194.66666666666666,128.33333333333334,9.533333333333333,2.2,184.0,126.0,8.8
2004-03-11 17:00:00,2.9,1383.0,150.0,11.2,1020.0,243.0,1008.0,135.0,1719.0,1104.0,9.8,67.6,0.8185,17.0,11.0,3.0,3.0,2.4333333333333336,206.66666666666666,130.66666666666666,9.433333333333334,2.2,193.0,131.0,8.3
2004-03-11 18:00:00,4.8,1581.0,307.0,20.8,1319.0,281.0,799.0,151.0,2083.0,1409.0,10.3,64.2,0.8065,18.0,11.0,3.0,3.0,3.2999999999999994,239.0,139.0,13.433333333333332,2.9,243.0,135.0,11.2
2004-03-11 19:00:00,6.9,1776.0,461.0,27.4,1488.0,383.0,702.0,172.0,2333.0,1704.0,9.7,69.3,0.8319,19.0,11.0,3.0,3.0,4.866666666666666,302.3333333333333,152.66666666666666,19.8,4.8,281.0,151.0,20.8
2004-03-11 20:00:00,6.1,1640.0,401.0,24.0,1404.0,351.0,743.0,165.0,2191.0,1654.0,9.6,67.8,0.8133,20.0,11.0,3.0,3.0,5.933333333333333,338.3333333333333,162.66666666666666,24.066666666666666,6.9,383.0,172.0,27.4
2004-03-11 21:00:00,3.9,1313.0,197.0,12.8,1076.0,240.0,957.0,136.0,1707.0,1285.0,9.1,64.0,0.7419,21.0,11.0,3.0,3.0,5.633333333333333,324.6666666666667,157.66666666666666,21.400000000000002,6.1,351.0,165.0,24.0
2004-03-11 22:00:00,1.5,965.0,61.0,4.7,749.0,94.0,1325.0,85.0,1333.0,821.0,8.2,63.4,0.6905,22.0,11.0,3.0,3.0,3.8333333333333335,228.33333333333334,128.66666666666666,13.833333333333334,3.9,240.0,136.0,12.8
2004-03-11 23:00:00,1.0,913.0,26.0,2.6,629.0,47.0,1565.0,53.0,1252.0,552.0,8.2,60.8,0.6657,23.0,11.0,3.0,3.0,2.1333333333333333,127.0,91.33333333333333,6.7,1.5,94.0,85.0,4.7
2004-03-12 00:00:00,1.7,1080.0,55.0,5.9,805.0,122.0,1254.0,97.0,1375.0,816.0,8.3,58.5,0.6438,0.0,12.0,4.0,3.0,1.4000000000000001,87.66666666666667,78.33333333333333,4.4,1.0,47.0,53.0,2.6
2004-03-12 01:00:00,1.9,1044.0,53.0,6.4,829.0,133.0,1247.0,110.0,1378.0,832.0,7.7,59.7,0.6308,1.0,12.0,4.0,3.0,1.5333333333333332,100.66666666666667,86.66666666666667,4.966666666666667,1.7,122.0,97.0,5.9
2004-03-12 02:00:00,1.4,988.0,40.0,4.1,718.0,82.0,1396.0,91.0,1304.0,692.0,7.1,61.8,0.6276,2.0,12.0,4.0,3.0,1.6666666666666667,112.33333333333333,99.33333333333333,5.466666666666666,1.9,133.0,110.0,6.4
2004-03-12 06:00:00,0.8,927.0,17.0,1.8,571.0,56.0,1685.0,71.0,1223.0,487.0,6.8,62.9,0.6234,6.0,12.0,4.0,3.0,0.7,35.666666666666664,49.0,1.3,0.6,30.0,44.0,1.0
2004-03-12 07:00:00,1.4,1091.0,33.0,4.4,730.0,109.0,1387.0,104.0,1361.0,748.0,6.4,65.1,0.6316,7.0,12.0,4.0,3.0,0.9333333333333332,65.0,73.0,2.4000000000000004,0.8,56.0,71.0,1.8
2004-03-12 08:00:00,4.4,1587.0,202.0,17.9,1236.0,307.0,897.0,141.0,1900.0,1400.0,7.3,63.1,0.6499,8.0,12.0,4.0,3.0,2.1999999999999997,157.33333333333334,105.33333333333333,8.033333333333333,1.4,109.0,104.0,4.4
2004-03-12 11:00:00,2.7,1263.0,166.0,11.6,1037.0,216.0,969.0,143.0,1598.0,1167.0,14.3,38.4,0.6243,11.0,12.0,4.0,3.0,2.9000000000000004,201.5,132.5,15.9,3.1,187.0,122.0,14.0
2004-03-12 12:00:00,2.1,1206.0,114.0,10.2,986.0,143.0,1035.0,113.0,1537.0,959.0,15.0,36.5,0.6195,12.0,12.0,4.0,3.0,2.6333333333333333,182.0,126.0,11.933333333333335,2.7,216.0,143.0,11.6
2004-03-12 13:00:00,2.5,1252.0,140.0,11.0,1016.0,160.0,1008.0,116.0,1593.0,983.0,16.1,34.5,0.6262,13.0,12.0,4.0,3.0,2.4333333333333336,173.0,124.0,10.933333333333335,2.1,143.0,113.0,10.2
2004-03-12 14:00:00,2.7,1287.0,169.0,12.8,1078.0,163.0,949.0,123.0,1660.0,1061.0,16.3,35.7,0.656,14.0,12.0,4.0,3.0,2.433333333333333,155.33333333333334,117.33333333333333,11.333333333333334,2.5,160.0,116.0,11.0
2004-03-12 15:00:00,2.9,1353.0,185.0,14.2,1122.0,190.0,922.0,126.0,1740.0,1139.0,15.8,37.0,0.661,15.0,12.0,4.0,3.0,2.6999999999999997,171.0,121.66666666666667,12.66666666666667,2.7,163.0,123.0,12.8
2004-03-12 16:00:00,2.8,1309.0,165.0,12.7,1073.0,178.0,954.0,120.0,1657.0,1112.0,15.9,37.2,0.6657,16.0,12.0,4.0,3.0,2.8000000000000003,177.0,123.0,13.233333333333334,2.9,190.0,126.0,14.2
2004-03-12 17:00:00,2.4,1274.0,133.0,11.7,1041.0,150.0,1006.0,119.0,1610.0,994.0,16.9,34.3,0.6549,17.0,12.0,4.0,3.0,2.6999999999999997,172.66666666666666,121.66666666666667,12.866666666666667,2.8,178.0,120.0,12.7
2004-03-12 18:00:00,3.9,1510.0,233.0,19.3,1277.0,206.0,812.0,149.0,1910.0,1410.0,15.1,39.6,0.6766,18.0,12.0,4.0,3.0,3.033333333333333,178.0,129.33333333333334,14.566666666666668,2.4,150.0,119.0,11.7
2004-03-12 19:00:00,3.7,1525.0,242.0,18.2,1246.0,202.0,821.0,145.0,1847.0,1448.0,14.4,43.4,0.7084,19.0,12.0,4.0,3.0,3.3333333333333335,186.0,137.66666666666666,16.400000000000002,3.9,206.0,149.0,19.3
2004-03-12 20:00:00,6.6,1843.0,488.0,32.6,1610.0,340.0,624.0,170.0,2390.0,1887.0,12.9,50.5,0.7478,20.0,12.0,4.0,3.0,4.733333333333333,249.33333333333334,154.66666666666666,23.366666666666664,3.7,202.0,145.0,18.2
2004-03-12 21:00:00,4.4,1598.0,333.0,20.1,1299.0,274.0,752.0,149.0,1941.0,1627.0,12.1,53.3,0.7536,21.0,12.0,4.0,3.0,4.8999999999999995,272.0,154.66666666666666,23.633333333333336,6.6,340.0,170.0,32.6
2004-03-12 22:00:00,3.5,1484.0,215.0,14.3,1127.0,253.0,839.0,139.0,1723.0,1491.0,11.0,59.1,0.774,22.0,12.0,4.0,3.0,4.833333333333333,289.0,152.66666666666666,22.333333333333332,4.4,274.0,149.0,20.1
2004-03-12 23:00:00,5.4,1677.0,367.0,21.8,1346.0,300.0,741.0,134.0,2062.0,1657.0,9.7,64.6,0.7771,23.0,12.0,4.0,3.0,4.433333333333334,275.6666666666667,140.66666666666666,18.733333333333334,3.5,253.0,139.0,14.3
2004-03-13 00:00:00,2.7,1280.0,122.0,9.6,964.0,193.0,963.0,113.0,1544.0,1285.0,9.5,64.1,0.7597,0.0,13.0,5.0,3.0,3.866666666666667,248.66666666666666,128.66666666666666,15.233333333333334,5.4,300.0,134.0,21.8
2004-03-13 01:00:00,1.9,1196.0,67.0,7.4,873.0,139.0,1071.0,97.0,1463.0,1144.0,9.1,63.9,0.7423,1.0,13.0,5.0,3.0,3.3333333333333335,210.66666666666666,114.66666666666667,12.933333333333332,2.7,193.0,113.0,9.6
2004-03-13 02:00:00,1.6,1184.0,43.0,5.4,782.0,83.0,1176.0,82.0,1365.0,1043.0,8.8,63.9,0.7256,2.0,13.0,5.0,3.0,2.066666666666667,138.33333333333334,97.33333333333333,7.466666666666666,1.9,139.0,97.0,7.4
2004-03-13 06:00:00,1.2,1100.0,27.0,2.9,646.0,53.0,1406.0,60.0,1268.0,835.0,7.2,67.5,0.6887,6.0,13.0,5.0,3.0,1.1,74.66666666666667,69.33333333333333,3.9,1.0,62.0,65.0,2.6
2004-03-13 07:00:00,1.5,1112.0,47.0,5.1,770.0,139.0,1228.0,77.0,1409.0,940.0,6.3,71.9,0.6932,7.0,13.0,5.0,3.0,1.2333333333333334,84.66666666666667,67.33333333333333,3.533333333333333,1.2,53.0,60.0,2.9
2004-03-13 08:00:00,2.7,1336.0,132.0,11.8,1043.0,256.0,935.0,96.0,1678.0,1192.0,6.5,71.6,0.6945,8.0,13.0,5.0,3.0,1.8,149.33333333333334,77.66666666666667,6.6000000000000005,1.5,139.0,77.0,5.1
2004-03-13 09:00:00,3.7,1408.0,239.0,15.1,1153.0,295.0,830.0,119.0,1777.0,1411.0,9.6,59.7,0.7124,9.0,13.0,5.0,3.0,2.6333333333333333,230.0,97.33333333333333,10.666666666666666,2.7,256.0,96.0,11.8
2004-03-13 10:00:00,3.2,1447.0,160.0,12.9,1081.0,250.0,869.0,126.0,1667.0,1465.0,12.4,51.2,0.7335,10.0,13.0,5.0,3.0,3.2000000000000006,267.0,113.66666666666667,13.266666666666666,3.7,295.0,119.0,15.1
2004-03-13 11:00:00,4.1,1542.0,283.0,16.1,1184.0,296.0,808.0,158.0,1780.0,1583.0,15.6,42.2,0.7451,11.0,13.0,5.0,3.0,3.6666666666666665,280.3333333333333,134.33333333333334,14.700000000000001,3.2,250.0,126.0,12.9
2004-03-13 12:00:00,3.6,1451.0,210.0,14.0,1117.0,239.0,875.0,161.0,1679.0,1387.0,18.4,33.8,0.709,12.0,13.0,5.0,3.0,3.6333333333333333,261.6666666666667,148.33333333333334,14.333333333333334,4.1,296.0,158.0,16.1
2004-03-13 13:00:00,2.8,1328.0,154.0,12.3,1059.0,153.0,987.0,124.0,1600.0,1101.0,19.4,31.3,0.695,13.0,13.0,5.0,3.0,3.5,229.33333333333334,147.66666666666666,14.133333333333335,3.6,239.0,161.0,14.0
2004-03-13 14:00:00,2.0,1207.0,112.0,8.6,924.0,118.0,1088.0,102.0,1488.0,850.0,18.0,34.8,0.7127,14.0,13.0,5.0,3.0,2.8000000000000003,170.0,129.0,11.633333333333333,2.8,153.0,124.0,12.3
2004-03-13 15:00:00,2.0,1240.0,108.0,9.2,947.0,119.0,1049.0,116.0,1532.0,947.0,18.4,33.6,0.7042,15.0,13.0,5.0,3.0,2.266666666666667,130.0,114.0,10.033333333333333,2.0,118.0,102.0,8.6
2004-03-13 16:00:00,2.5,1306.0,111.0,10.2,987.0,138.0,1004.0,124.0,1554.0,1078.0,17.6,35.1,0.7012,16.0,13.0,5.0,3.0,2.1666666666666665,125.0,114.0,9.333333333333334,2.0,119.0,116.0,9.2
2004-03-13 17:00:00,2.3,1326.0,97.0,10.6,1000.0,148.0,976.0,125.0,1602.0,1084.0,16.7,37.8,0.7117,17.0,13.0,5.0,3.0,2.266666666666666,135.0,121.66666666666667,9.999999999999998,2.5,138.0,124.0,10.2
2004-03-13 18:00:00,3.2,1473.0,191.0,15.5,1163.0,227.0,831.0,148.0,1779.0,1395.0,16.1,41.0,0.7451,18.0,13.0,5.0,3.0,2.6666666666666665,171.0,132.33333333333334,12.1,2.3,148.0,125.0,10.6
2004-03-13 19:00:00,4.2,1609.0,258.0,19.6,1286.0,277.0,758.0,165.0,1922.0,1612.0,15.8,42.4,0.7569,19.0,13.0,5.0,3.0,3.233333333333333,217.33333333333334,146.0,15.233333333333334,3.2,227.0,148.0,15.5
2004-03-13 20:00:00,4.2,1611.0,284.0,19.2,1274.0,279.0,754.0,161.0,1915.0,1697.0,15.7,44.1,0.7786,20.0,13.0,5.0,3.0,3.866666666666667,261.0,158.0,18.099999999999998,4.2,277.0,165.0,19.6
2004-03-13 21:00:00,4.2,1621.0,269.0,18.3,1247.0,283.0,762.0,159.0,1860.0,1886.0,15.3,46.8,0.8091,21.0,13.0,5.0,3.0,4.2,279.6666666666667,161.66666666666666,19.033333333333335,4.2,279.0,161.0,19.2
2004-03-13 22:00:00,3.1,1444.0,180.0,13.1,1089.0,214.0,844.0,143.0,1748.0,1624.0,14.6,48.6,0.806,22.0,13.0,5.0,3.0,3.8333333333333335,258.6666666666667,154.33333333333334,16.866666666666667,4.2,283.0,159.0,18.3
2004-03-13 23:00:00,2.6,1418.0,116.0,10.9,1010.0,172.0,892.0,130.0,1603.0,1536.0,14.7,49.3,0.8193,23.0,13.0,5.0,3.0,3.3000000000000003,223.0,144.0,14.1,3.1,214.0,143.0,13.1
2004-03-14 00:00:00,2.9,1534.0,93.0,11.0,1013.0,190.0,889.0,129.0,1611.0,1535.0,13.9,53.6,0.8498,0.0,14.0,6.0,3.0,2.8666666666666667,192.0,134.0,11.666666666666666,2.6,172.0,130.0,10.9
2004-03-14 01:00:00,2.8,1484.0,131.0,11.9,1045.0,174.0,880.0,119.0,1624.0,1530.0,14.6,51.5,0.8536,1.0,14.0,6.0,3.0,2.766666666666667,178.66666666666666,126.0,11.266666666666666,2.9,190.0,129.0,11.0
2004-03-14 02:00:00,2.5,1367.0,92.0,8.6,925.0,128.0,953.0,104.0,1543.0,1337.0,12.5,58.9,0.8537,2.0,14.0,6.0,3.0,2.733333333333333,164.0,117.33333333333333,10.5,2.8,174.0,119.0,11.9
2004-03-14 06:00:00,1.0,1076.0,29.0,2.5,618.0,44.0,1395.0,63.0,1333.0,872.0,11.6,62.2,0.8473,6.0,14.0,6.0,3.0,1.1,55.666666666666664,71.66666666666667,3.8000000000000003,1.2,53.0,70.0,3.7
2004-03-14 07:00:00,0.9,1028.0,27.0,2.4,615.0,74.0,1384.0,67.0,1340.0,853.0,10.4,67.6,0.853,7.0,14.0,6.0,3.0,1.0333333333333334,57.0,66.66666666666667,2.8666666666666667,1.0,44.0,63.0,2.5
2004-03-14 08:00:00,1.4,1155.0,36.0,4.2,722.0,101.0,1225.0,84.0,1414.0,959.0,11.6,62.7,0.853,8.0,14.0,6.0,3.0,1.0999999999999999,73.0,71.33333333333333,3.0333333333333337,0.9,74.0,67.0,2.4
2004-03-14 09:00:00,1.6,1235.0,57.0,6.4,828.0,118.0,1055.0,83.0,1527.0,1093.0,12.4,60.0,0.8627,9.0,14.0,6.0,3.0,1.3,97.66666666666667,78.0,4.333333333333333,1.4,101.0,84.0,4.2
2004-03-14 10:00:00,2.2,1332.0,129.0,8.6,923.0,144.0,952.0,98.0,1614.0,1225.0,14.5,53.1,0.8728,10.0,14.0,6.0,3.0,1.7333333333333336,121.0,88.33333333333333,6.400000000000001,1.6,118.0,83.0,6.4
2004-03-14 11:00:00,2.8,1445.0,148.0,10.9,1009.0,176.0,878.0,114.0,1696.0,1355.0,16.9,46.1,0.8789,11.0,14.0,6.0,3.0,2.2,146.0,98.33333333333333,8.633333333333335,2.2,144.0,98.0,8.6
2004-03-14 12:00:00,2.8,1416.0,145.0,10.7,1002.0,161.0,907.0,119.0,1677.0,1262.0,19.3,38.3,0.8474,12.0,14.0,6.0,3.0,2.6,160.33333333333334,110.33333333333333,10.066666666666666,2.8,176.0,114.0,10.9
2004-03-14 13:00:00,2.0,1281.0,93.0,7.5,880.0,113.0,1084.0,104.0,1525.0,980.0,21.2,31.4,0.7812,13.0,14.0,6.0,3.0,2.533333333333333,150.0,112.33333333333333,9.700000000000001,2.8,161.0,119.0,10.7
2004-03-14 14:00:00,1.8,1207.0,84.0,7.5,879.0,103.0,1104.0,102.0,1490.0,872.0,21.4,30.2,0.7616,14.0,14.0,6.0,3.0,2.2,125.66666666666667,108.33333333333333,8.566666666666668,2.0,113.0,104.0,7.5
2004-03-14 15:00:00,1.9,1258.0,99.0,8.2,906.0,112.0,1081.0,107.0,1511.0,900.0,21.9,29.0,0.7525,15.0,14.0,6.0,3.0,1.9000000000000001,109.33333333333333,104.33333333333333,7.733333333333334,1.8,103.0,102.0,7.5
2004-03-14 16:00:00,3.0,1458.0,150.0,11.9,1045.0,170.0,974.0,129.0,1646.0,1099.0,22.2,28.4,0.7516,16.0,14.0,6.0,3.0,2.2333333333333334,128.33333333333334,112.66666666666667,9.200000000000001,1.9,112.0,107.0,8.2
2004-03-14 17:00:00,2.9,1438.0,156.0,12.0,1051.0,180.0,943.0,128.0,1668.0,1206.0,21.3,30.8,0.7696,17.0,14.0,6.0,3.0,2.6,154.0,121.33333333333333,10.700000000000001,3.0,170.0,129.0,11.9
2004-03-14 18:00:00,2.5,1478.0,122.0,12.2,1055.0,160.0,929.0,121.0,1671.0,1262.0,19.7,36.7,0.8307,18.0,14.0,6.0,3.0,2.8000000000000003,170.0,126.0,12.033333333333333,2.9,180.0,128.0,12.0
2004-03-14 19:00:00,4.6,1808.0,262.0,20.6,1312.0,261.0,753.0,157.0,1993.0,1698.0,18.4,41.7,0.8732,19.0,14.0,6.0,3.0,3.3333333333333335,200.33333333333334,135.33333333333334,14.933333333333335,2.5,160.0,121.0,12.2
2004-03-14 20:00:00,5.9,1898.0,341.0,23.1,1381.0,325.0,681.0,173.0,2103.0,1905.0,17.6,46.1,0.921,20.0,14.0,6.0,3.0,4.333333333333333,248.66666666666666,150.33333333333334,18.633333333333336,4.6,261.0,157.0,20.6
2004-03-14 21:00:00,3.4,1560.0,214.0,14.7,1140.0,217.0,784.0,146.0,1818.0,1648.0,16.7,49.6,0.932,21.0,14.0,6.0,3.0,4.633333333333334,267.6666666666667,158.66666666666666,19.46666666666667,5.9,325.0,173.0,23.1
2004-03-14 22:00:00,2.1,1324.0,100.0,9.0,940.0,146.0,924.0,121.0,1587.0,1423.0,16.3,51.0,0.9341,22.0,14.0,6.0,3.0,3.8000000000000003,229.33333333333334,146.66666666666666,15.6,3.4,217.0,146.0,14.7
2004-03-14 23:00:00,2.2,1349.0,79.0,8.8,933.0,152.0,933.0,119.0,1617.0,1349.0,14.7,55.9,0.9314,23.0,14.0,6.0,3.0,2.566666666666667,171.66666666666666,128.66666666666666,10.833333333333334,2.1,146.0,121.0,9.0
2004-03-15 00:00:00,1.8,1239.0,66.0,7.4,872.0,104.0,985.0,99.0,1547.0,1250.0,14.8,54.7,0.9164,0.0,15.0,0.0,3.0,2.0333333333333337,134.0,113.0,8.4,2.2,152.0,119.0,8.8
2004-03-15 01:00:00,1.8,1239.0,73.0,6.9,853.0,106.0,1010.0,93.0,1543.0,1174.0,14.0,57.0,0.9094,1.0,15.0,0.0,3.0,1.9333333333333336,120.66666666666667,103.66666666666667,7.7,1.8,104.0,99.0,7.4
2004-03-15 02:00:00,1.8,1224.0,66.0,7.0,855.0,108.0,998.0,88.0,1566.0,1149.0,13.4,61.3,0.9361,2.0,15.0,0.0,3.0,1.8,106.0,93.33333333333333,7.1000000000000005,1.8,106.0,93.0,6.9
2004-03-15 06:00:00,1.4,1157.0,51.0,6.4,830.0,138.0,1030.0,80.0,1584.0,1083.0,11.4,70.5,0.9475,6.0,15.0,0.0,3.0,1.2,97.33333333333333,75.0,4.766666666666667,1.0,88.0,74.0,3.9
2004-03-15 07:00:00,2.2,1314.0,107.0,9.7,966.0,228.0,897.0,89.0,1710.0,1235.0,11.3,70.2,0.9401,7.0,15.0,0.0,3.0,1.5333333333333332,151.33333333333334,81.0,6.666666666666667,1.4,138.0,80.0,6.4
2004-03-15 08:00:00,5.5,1797.0,336.0,25.9,1451.0,360.0,652.0,114.0,2323.0,1680.0,12.4,63.9,0.917,8.0,15.0,0.0,3.0,3.033333333333333,242.0,94.33333333333333,14.0,2.2,228.0,89.0,9.7
2004-03-15 09:00:00,8.1,1961.0,618.0,36.7,1701.0,478.0,537.0,149.0,2665.0,2184.0,14.8,54.3,0.9076,9.0,15.0,0.0,3.0,5.266666666666667,355.3333333333333,117.33333333333333,24.099999999999998,5.5,360.0,114.0,25.9
2004-03-15 10:00:00,5.8,1771.0,438.0,26.6,1470.0,394.0,622.0,157.0,2262.0,1973.0,17.4,45.6,0.8993,10.0,15.0,0.0,3.0,6.466666666666666,410.6666666666667,140.0,29.733333333333334,8.1,478.0,149.0,36.7
2004-03-15 11:00:00,4.2,1564.0,334.0,20.1,1300.0,319.0,710.0,155.0,2029.0,1798.0,19.8,38.5,0.8801,11.0,15.0,0.0,3.0,6.033333333333334,397.0,153.66666666666666,27.8,5.8,394.0,157.0,26.6
2004-03-15 12:00:00,3.1,1430.0,221.0,14.1,1120.0,201.0,831.0,134.0,1783.0,1522.0,22.0,34.1,0.8904,12.0,15.0,0.0,3.0,4.366666666666666,304.6666666666667,148.66666666666666,20.26666666666667,4.2,319.0,155.0,20.1
2004-03-15 13:00:00,2.9,1417.0,207.0,14.9,1146.0,171.0,830.0,119.0,1831.0,1404.0,23.3,32.2,0.9096,13.0,15.0,0.0,3.0,3.4,230.33333333333334,136.0,16.366666666666667,3.1,201.0,134.0,14.1
2004-03-15 14:00:00,2.9,1400.0,191.0,15.4,1162.0,159.0,838.0,111.0,1829.0,1263.0,23.9,30.0,0.8757,14.0,15.0,0.0,3.0,2.966666666666667,177.0,121.33333333333333,14.799999999999999,2.9,171.0,119.0,14.9
2004-03-15 15:00:00,2.5,1317.0,185.0,12.1,1053.0,153.0,926.0,104.0,1707.0,1137.0,24.4,28.9,0.8736,15.0,15.0,0.0,3.0,2.766666666666667,161.0,111.33333333333333,14.133333333333333,2.9,159.0,111.0,15.4
2004-03-15 16:00:00,2.3,1318.0,141.0,11.5,1033.0,143.0,950.0,99.0,1675.0,1068.0,24.4,29.4,0.8848,16.0,15.0,0.0,3.0,2.5666666666666664,151.66666666666666,104.66666666666667,13.0,2.5,153.0,104.0,12.1
2004-03-15 17:00:00,2.8,1445.0,214.0,14.8,1141.0,156.0,857.0,110.0,1824.0,1252.0,23.8,31.3,0.9137,17.0,15.0,0.0,3.0,2.533333333333333,150.66666666666666,104.33333333333333,12.800000000000002,2.3,143.0,99.0,11.5
2004-03-15 18:00:00,6.1,1917.0,471.0,32.1,1601.0,314.0,631.0,162.0,2447.0,1843.0,22.5,35.4,0.9547,18.0,15.0,0.0,3.0,3.733333333333333,204.33333333333334,123.66666666666667,19.466666666666665,2.8,156.0,110.0,14.8
2004-03-15 19:00:00,8.0,2040.0,685.0,39.2,1754.0,404.0,542.0,187.0,2679.0,2122.0,20.4,42.5,1.0086,19.0,15.0,0.0,3.0,5.633333333333333,291.3333333333333,153.0,28.7,6.1,314.0,162.0,32.1
